time,temp
212.5,43.5814184082
213.0,43.5714832803
213.5,43.5781065428
214.0,43.5731390374
214.5,43.5648606417
215.0,43.5781065428
215.5,43.5781065428
216.0,43.5648606417
216.5,43.5582386269
217.0,43.5549278533
217.5,43.5433413725
218.0,43.5301020151
218.5,43.5350664823
219.0,43.5350664823
219.5,43.5284472704
220.0,43.5317567986
220.5,43.5516172355
221.0,43.5483067735
221.5,43.533411621
222.0,43.5367213826
222.5,43.5549278533
223.0,43.5433413725
223.5,43.549961985
224.0,43.5565832207
224.5,43.549961985
225.0,43.5416863166
225.5,43.533411621
226.0,43.5284472704
226.5,43.5284472704
227.0,43.5284472704
227.5,43.5284472704
228.0,43.5267925646
228.5,43.5036307629
229.0,43.4870912759
229.5,43.4738624769
230.0,43.4408013148
230.5,43.3945416324
231.0,43.3631683243
231.5,43.300463258
232.0,43.2625370159
232.5,43.2032146484
233.0,43.1538169073
233.5,43.0830727631
234.0,43.0337575682
234.5,42.972981901
235.0,42.9007745444
235.5,42.8417492015
236.0,42.7729467389
236.5,42.7091167328
237.0,42.6388044569
237.5,42.5538653753
238.0,42.4951186157
238.5,42.4184915183
239.0,42.3338045353
239.5,42.2492135166
240.0,42.1760867214
240.5,42.0868058919
241.0,42.0057329038
241.5,41.9020855956
242.0,41.7985788256
242.5,41.7161967219
243.0,41.6161643119
243.5,41.4872806115
244.0,41.3843267409
244.5,41.2718753332
245.0,41.1499662213
245.5,41.0026415593
246.0,40.8220578976
246.5,40.684892058
247.0,40.5511382402
247.5,40.3890144892
248.0,40.2398860303
248.5,40.0625465816
249.0,39.8871560265
249.5,39.7263025045
250.0,39.5453058912
250.5,39.3474252902
251.0,39.1515508212
251.5,38.9498554679
252.0,38.7470479306
252.5,38.5260278607
253.0,38.3117323709
253.5,38.0839909055
254.0,37.8645042075
254.5,37.5823648122
255.0,37.359374545
255.5,37.1353374712
256.0,36.8964878075
256.5,36.6551236436
257.0,36.4112523158
257.5,36.1907088871
258.0,35.9584653548
258.5,35.7070185798
259.0,35.4666786462
259.5,35.2388755493
260.0,35.002467568
260.5,34.7379763517
261.0,34.466534423
261.5,34.2405066203
262.0,33.998428912
262.5,33.7508070161
263.0,33.5199773179
263.5,33.285049208
264.0,33.0534491224
264.5,32.8251524107
265.0,32.573509009
265.5,32.350306905
266.0,32.1421458985
266.5,31.906227794
267.0,31.6632513772
267.5,31.4396897531
268.0,31.2222513394
268.5,31.0094411022
269.0,30.7689975648
269.5,30.5580876103
270.0,30.357605462
270.5,30.1368252125
271.0,29.916233897
271.5,29.7074949758
272.0,29.503283079
272.5,29.275895603
273.0,29.0719677403
273.5,28.8783498038
274.0,28.6819266139
274.5,28.4361744362
275.0,28.229796161
275.5,28.0336783644
276.0,27.8478015793
276.5,27.6619889102
277.0,27.4530190698
277.5,27.2716750704
278.0,27.0831238844
278.5,26.9018638572
279.0,26.6930927913
279.5,26.5162453551
280.0,26.3336209814
280.5,26.1597081304
281.0,25.9597202467
281.5,25.7872717838
282.0,25.5394656787
282.5,25.3699063639
283.0,25.1785946374
283.5,25.0061063033
284.0,24.8466439209
284.5,24.6639591494
285.0,24.4986427649
285.5,24.3187873134
286.0,24.1562991247
286.5,23.974902889
287.0,23.8166799817
287.5,23.6627675534
288.0,23.5000918112
288.5,23.3228267812
289.0,23.1731123084
289.5,23.0117079355
290.0,22.8385953827
290.5,22.6828689028
291.0,22.4906599723
291.5,22.3493429927
292.0,22.1831764536
292.5,22.0300456558
293.0,21.8826702589
293.5,21.7381357557
294.0,21.5759870745
